code,lad,2001,2011,change,topic,parent
E06000001,Hartlepool,88611,92028,3.86,population_all,North East
E06000002,Middlesbrough,134855,138412,2.64,population_all,North East
E06000003,Redcar and Cleveland,139132,135177,-2.84,population_all,North East
E06000004,Stockton-on-Tees,178408,191610,7.4,population_all,North East
E06000005,Darlington,97838,105564,7.9,population_all,North East
E06000006,Halton,118208,125746,6.38,population_all,North West
E06000007,Warrington,191080,202228,5.83,population_all,North West
E06000008,Blackburn with Darwen,137470,147489,7.29,population_all,North West
E06000009,Blackpool,142283,142065,-0.15,population_all,North West
E06000010,"Kingston upon Hull, City of",243589,256406,5.26,population_all,Yorkshire and The Humber
E06000011,East Riding of Yorkshire,314113,334179,6.39,population_all,Yorkshire and The Humber
E06000012,North East Lincolnshire,157979,159616,1.04,population_all,Yorkshire and The Humber
E06000013,North Lincolnshire,152849,167446,9.55,population_all,Yorkshire and The Humber
E06000014,York,181094,198051,9.36,population_all,Yorkshire and The Humber
E06000015,Derby,221708,248752,12.2,population_all,East Midlands
E06000016,Leicester,279921,329839,17.83,population_all,East Midlands
E06000017,Rutland,34563,37369,8.12,population_all,East Midlands
E06000018,Nottingham,266988,305680,14.49,population_all,East Midlands
E06000019,"Herefordshire, County of",174871,183477,4.92,population_all,West Midlands
E06000020,Telford and Wrekin,158325,166641,5.25,population_all,West Midlands
E06000021,Stoke-on-Trent,240636,249008,3.48,population_all,West Midlands
E06000022,Bath and North East Somerset,169040,176016,4.13,population_all,South West
E06000023,"Bristol, City of",380615,428234,12.51,population_all,South West
E06000024,North Somerset,188564,202566,7.43,population_all,South West
E06000025,South Gloucestershire,245641,262767,6.97,population_all,South West
E06000026,Plymouth,240720,256384,6.51,population_all,South West
E06000027,Torbay,129706,130959,0.97,population_all,South West
E06000030,Swindon,180051,209156,16.16,population_all,South West
E06000031,Peterborough,156061,183631,17.67,population_all,East
E06000032,Luton,184371,203201,10.21,population_all,East
E06000033,Southend-on-Sea,160257,173658,8.36,population_all,East
E06000034,Thurrock,143128,157705,10.18,population_all,East
E06000035,Medway,249488,263925,5.79,population_all,South East
E06000036,Bracknell Forest,109617,113205,3.27,population_all,South East
E06000037,West Berkshire,144483,153822,6.46,population_all,South East
E06000038,Reading,143096,155698,8.81,population_all,South East
E06000039,Slough,119067,140205,17.75,population_all,South East
E06000040,Windsor and Maidenhead,133626,144560,8.18,population_all,South East
E06000041,Wokingham,150229,154380,2.76,population_all,South East
E06000042,Milton Keynes,207057,248821,20.17,population_all,South East
E06000043,Brighton and Hove,247817,273369,10.31,population_all,South East
E06000044,Portsmouth,186701,205056,9.83,population_all,South East
E06000045,Southampton,217445,236882,8.94,population_all,South East
E06000046,Isle of Wight,132731,138265,4.17,population_all,South East
E06000047,County Durham,493470,513242,4.01,population_all,North East
E06000049,Cheshire East,351817,370127,5.2,population_all,North West
E06000050,Cheshire West and Chester,321971,329608,2.37,population_all,North West
E06000051,Shropshire,283173,306129,8.11,population_all,West Midlands
E06000052,Cornwall,499114,532273,6.64,population_all,South West
E06000053,Isles of Scilly,1988,2203,10.81,population_all,South West
E06000054,Wiltshire,432973,470981,8.78,population_all,South West
E06000055,Bedford,147911,157479,6.47,population_all,East
E06000056,Central Bedfordshire,233661,254381,8.87,population_all,East
E06000057,Northumberland,307190,316028,2.88,population_all,North East
E06000058,"Bournemouth, Christchurch and Poole",346597,378888,9.32,population_all,South West
E06000059,Dorset,345869,365153,5.58,population_all,South West
E06000060,Buckinghamshire,479026,505283,5.48,population_all,South East
E07000008,Cambridge,108863,123867,13.78,population_all,East
E07000009,East Cambridgeshire,73214,83818,14.48,population_all,East
E07000010,Fenland,83519,95262,14.06,population_all,East
E07000011,Huntingdonshire,156954,169508,8.0,population_all,East
E07000012,South Cambridgeshire,130108,148755,14.33,population_all,East
E07000026,Allerdale,93492,96422,3.13,population_all,North West
E07000027,Barrow-in-Furness,71980,69087,-4.02,population_all,North West
E07000028,Carlisle,100739,107524,6.74,population_all,North West
E07000029,Copeland,69318,70603,1.85,population_all,North West
E07000030,Eden,49777,52564,5.6,population_all,North West
E07000031,South Lakeland,102301,103658,1.33,population_all,North West
E07000032,Amber Valley,116471,122309,5.01,population_all,East Midlands
E07000033,Bolsover,71766,75866,5.71,population_all,East Midlands
E07000034,Chesterfield,98845,103788,5.0,population_all,East Midlands
E07000035,Derbyshire Dales,69469,71116,2.37,population_all,East Midlands
E07000036,Erewash,110099,112081,1.8,population_all,East Midlands
E07000037,High Peak,89433,90892,1.63,population_all,East Midlands
E07000038,North East Derbyshire,96940,99023,2.15,population_all,East Midlands
E07000039,South Derbyshire,81562,94611,16.0,population_all,East Midlands
E07000040,East Devon,125520,132457,5.53,population_all,South West
E07000041,Exeter,111076,117773,6.03,population_all,South West
E07000042,Mid Devon,69774,77750,11.43,population_all,South West
E07000043,North Devon,87508,93667,7.04,population_all,South West
E07000044,South Hams,81849,83140,1.58,population_all,South West
E07000045,Teignbridge,120958,124220,2.7,population_all,South West
E07000046,Torridge,58965,63839,8.27,population_all,South West
E07000047,West Devon,48843,53553,9.64,population_all,South West
E07000061,Eastbourne,89667,99412,10.87,population_all,South East
E07000062,Hastings,85029,90254,6.14,population_all,South East
E07000063,Lewes,92177,97502,5.78,population_all,South East
E07000064,Rother,85428,90588,6.04,population_all,South East
E07000065,Wealden,140023,148915,6.35,population_all,South East
E07000066,Basildon,165668,174497,5.33,population_all,East
E07000067,Braintree,132179,147084,11.28,population_all,East
E07000068,Brentwood,68456,73601,7.52,population_all,East
E07000069,Castle Point,86608,88011,1.62,population_all,East
E07000070,Chelmsford,157072,168310,7.15,population_all,East
E07000071,Colchester,155796,173074,11.09,population_all,East
E07000072,Epping Forest,120896,124659,3.11,population_all,East
E07000073,Harlow,78768,81944,4.03,population_all,East
E07000074,Maldon,59418,61629,3.72,population_all,East
E07000075,Rochford,78489,83287,6.11,population_all,East
E07000076,Tendring,138539,138048,-0.35,population_all,East
E07000077,Uttlesford,68946,79443,15.22,population_all,East
E07000078,Cheltenham,110013,115732,5.2,population_all,South West
E07000079,Cotswold,80376,82881,3.12,population_all,South West
E07000080,Forest of Dean,79982,81961,2.47,population_all,South West
E07000081,Gloucester,109885,121688,10.74,population_all,South West
E07000082,Stroud,107898,112779,4.52,population_all,South West
E07000083,Tewkesbury,76405,81943,7.25,population_all,South West
E07000084,Basingstoke and Deane,152573,167799,9.98,population_all,South East
E07000085,East Hampshire,109274,115608,5.8,population_all,South East
E07000086,Eastleigh,116169,125199,7.77,population_all,South East
E07000087,Fareham,107977,111581,3.34,population_all,South East
E07000088,Gosport,76415,82622,8.12,population_all,South East
E07000089,Hart,83505,91033,9.02,population_all,South East
E07000090,Havant,116849,120684,3.28,population_all,South East
E07000091,New Forest,169331,176462,4.21,population_all,South East
E07000092,Rushmoor,90987,93807,3.1,population_all,South East
E07000093,Test Valley,109801,116398,6.01,population_all,South East
E07000094,Winchester,107222,116595,8.74,population_all,South East
E07000095,Broxbourne,87054,93609,7.53,population_all,East
E07000096,Dacorum,137799,144847,5.11,population_all,East
E07000098,Hertsmere,94450,100031,5.91,population_all,East
E07000099,North Hertfordshire,116908,127114,8.73,population_all,East
E07000102,Three Rivers,82848,87317,5.39,population_all,East
E07000103,Watford,79726,90301,13.26,population_all,East
E07000105,Ashford,102661,117956,14.9,population_all,South East
E07000106,Canterbury,135278,151145,11.73,population_all,South East
E07000107,Dartford,85911,97365,13.33,population_all,South East
E07000108,Dover,104566,111674,6.8,population_all,South East
E07000109,Gravesham,95717,101720,6.27,population_all,South East
E07000110,Maidstone,138948,155143,11.66,population_all,South East
E07000111,Sevenoaks,109305,114893,5.11,population_all,South East
E07000112,Folkestone and Hythe,96238,107969,12.19,population_all,South East
E07000113,Swale,122801,135835,10.61,population_all,South East
E07000114,Thanet,126702,134186,5.91,population_all,South East
E07000115,Tonbridge and Malling,107561,120805,12.31,population_all,South East
E07000116,Tunbridge Wells,104030,115049,10.59,population_all,South East
E07000117,Burnley,89542,87059,-2.77,population_all,North West
E07000118,Chorley,100449,107155,6.68,population_all,North West
E07000119,Fylde,73217,75757,3.47,population_all,North West
E07000120,Hyndburn,81496,80734,-0.94,population_all,North West
E07000121,Lancaster,133914,138375,3.33,population_all,North West
E07000122,Pendle,89248,89452,0.23,population_all,North West
E07000123,Preston,129633,140202,8.15,population_all,North West
E07000124,Ribble Valley,53960,57132,5.88,population_all,North West
E07000125,Rossendale,65652,67982,3.55,population_all,North West
E07000126,South Ribble,103867,109057,5.0,population_all,North West
E07000127,West Lancashire,108378,110685,2.13,population_all,North West
E07000128,Wyre,105618,107749,2.02,population_all,North West
E07000129,Blaby,90252,93915,4.06,population_all,East Midlands
E07000130,Charnwood,153462,166100,8.24,population_all,East Midlands
E07000131,Harborough,76559,85382,11.52,population_all,East Midlands
E07000132,Hinckley and Bosworth,100141,105078,4.93,population_all,East Midlands
E07000133,Melton,47866,50376,5.24,population_all,East Midlands
E07000134,North West Leicestershire,85503,93468,9.32,population_all,East Midlands
E07000135,Oadby and Wigston,55795,56170,0.67,population_all,East Midlands
E07000136,Boston,55750,64637,15.94,population_all,East Midlands
E07000137,East Lindsey,130447,136401,4.56,population_all,East Midlands
E07000138,Lincoln,85595,93541,9.28,population_all,East Midlands
E07000139,North Kesteven,94024,107766,14.62,population_all,East Midlands
E07000140,South Holland,76522,88270,15.35,population_all,East Midlands
E07000141,South Kesteven,124792,133788,7.21,population_all,East Midlands
E07000142,West Lindsey,79515,89250,12.24,population_all,East Midlands
E07000143,Breckland,121418,130491,7.47,population_all,East
E07000144,Broadland,118513,124646,5.17,population_all,East
E07000145,Great Yarmouth,90810,97277,7.12,population_all,East
E07000146,King's Lynn and West Norfolk,135345,147451,8.94,population_all,East
E07000147,North Norfolk,98382,101499,3.17,population_all,East
E07000148,Norwich,121550,132512,9.02,population_all,East
E07000149,South Norfolk,110710,124012,12.02,population_all,East
E07000150,Corby,53174,61255,15.2,population_all,East Midlands
E07000151,Daventry,72193,77843,7.83,population_all,East Midlands
E07000152,East Northamptonshire,76550,86765,13.34,population_all,East Midlands
E07000153,Kettering,81844,93475,14.21,population_all,East Midlands
E07000154,Northampton,194103,212069,9.26,population_all,East Midlands
E07000155,South Northamptonshire,79293,85189,7.44,population_all,East Midlands
E07000156,Wellingborough,72519,75356,3.91,population_all,East Midlands
E07000163,Craven,53620,55409,3.34,population_all,Yorkshire and The Humber
E07000164,Hambleton,84111,89140,5.98,population_all,Yorkshire and The Humber
E07000165,Harrogate,151336,157869,4.32,population_all,Yorkshire and The Humber
E07000166,Richmondshire,47010,51965,10.54,population_all,Yorkshire and The Humber
E07000167,Ryedale,50872,51751,1.73,population_all,Yorkshire and The Humber
E07000168,Scarborough,106243,108793,2.4,population_all,Yorkshire and The Humber
E07000169,Selby,76468,83449,9.13,population_all,Yorkshire and The Humber
E07000170,Ashfield,111155,119497,7.5,population_all,East Midlands
E07000171,Bassetlaw,107713,112863,4.78,population_all,East Midlands
E07000172,Broxtowe,107570,109487,1.78,population_all,East Midlands
E07000173,Gedling,112019,113543,1.36,population_all,East Midlands
E07000174,Mansfield,98181,104466,6.4,population_all,East Midlands
E07000175,Newark and Sherwood,106273,114817,8.04,population_all,East Midlands
E07000176,Rushcliffe,105599,111129,5.24,population_all,East Midlands
E07000177,Cherwell,131785,141868,7.65,population_all,South East
E07000178,Oxford,134248,151906,13.15,population_all,South East
E07000179,South Oxfordshire,128188,134257,4.73,population_all,South East
E07000180,Vale of White Horse,115627,120988,4.64,population_all,South East
E07000181,West Oxfordshire,95640,104779,9.56,population_all,South East
E07000187,Mendip,103869,109279,5.21,population_all,South West
E07000188,Sedgemoor,105881,114588,8.22,population_all,South West
E07000189,South Somerset,150969,161243,6.81,population_all,South West
E07000192,Cannock Chase,92126,97462,5.79,population_all,West Midlands
E07000193,East Staffordshire,103770,113583,9.46,population_all,West Midlands
E07000194,Lichfield,93232,100654,7.96,population_all,West Midlands
E07000195,Newcastle-under-Lyme,122030,123871,1.51,population_all,West Midlands
E07000196,South Staffordshire,105896,108131,2.11,population_all,West Midlands
E07000197,Stafford,120670,130869,8.45,population_all,West Midlands
E07000198,Staffordshire Moorlands,94489,97106,2.77,population_all,West Midlands
E07000199,Tamworth,74531,76813,3.06,population_all,West Midlands
E07000200,Babergh,83461,87740,5.13,population_all,East
E07000202,Ipswich,117069,133384,13.94,population_all,East
E07000203,Mid Suffolk,86837,96731,11.39,population_all,East
E07000207,Elmbridge,121936,130875,7.33,population_all,South East
E07000208,Epsom and Ewell,67059,75102,11.99,population_all,South East
E07000209,Guildford,129701,137183,5.77,population_all,South East
E07000210,Mole Valley,80287,85375,6.34,population_all,South East
E07000211,Reigate and Banstead,126523,137835,8.94,population_all,South East
E07000212,Runnymede,78033,80510,3.17,population_all,South East
E07000213,Spelthorne,90390,95598,5.76,population_all,South East
E07000214,Surrey Heath,80314,86144,7.26,population_all,South East
E07000215,Tandridge,79267,82998,4.71,population_all,South East
E07000216,Waverley,115665,121572,5.11,population_all,South East
E07000217,Woking,89840,99198,10.42,population_all,South East
E07000218,North Warwickshire,61860,62014,0.25,population_all,West Midlands
E07000219,Nuneaton and Bedworth,119132,125252,5.14,population_all,West Midlands
E07000220,Rugby,87453,100075,14.43,population_all,West Midlands
E07000221,Stratford-on-Avon,111484,120485,8.07,population_all,West Midlands
E07000222,Warwick,125931,137648,9.3,population_all,West Midlands
E07000223,Adur,59627,61182,2.61,population_all,South East
E07000224,Arun,140759,149518,6.22,population_all,South East
E07000225,Chichester,106450,113794,6.9,population_all,South East
E07000226,Crawley,99744,106597,6.87,population_all,South East
E07000227,Horsham,122088,131301,7.55,population_all,South East
E07000228,Mid Sussex,127378,139860,9.8,population_all,South East
E07000229,Worthing,97568,104640,7.25,population_all,South East
E07000234,Bromsgrove,87837,93637,6.6,population_all,West Midlands
E07000235,Malvern Hills,72172,74631,3.41,population_all,West Midlands
E07000236,Redditch,78807,84214,6.86,population_all,West Midlands
E07000237,Worcester,93353,98768,5.8,population_all,West Midlands
E07000238,Wychavon,112957,116944,3.53,population_all,West Midlands
E07000239,Wyre Forest,96981,97975,1.02,population_all,West Midlands
E07000240,St Albans,129005,140664,9.04,population_all,East
E07000241,Welwyn Hatfield,97553,110535,13.31,population_all,East
E07000242,East Hertfordshire,128919,137687,6.8,population_all,East
E07000243,Stevenage,79715,83957,5.32,population_all,East
E07000244,East Suffolk,227483,239552,5.31,population_all,East
E07000245,West Suffolk,153703,170756,11.09,population_all,East
E07000246,Somerset West and Taunton,137374,144862,5.45,population_all,South West
E08000001,Bolton,261037,276786,6.03,population_all,North West
E08000002,Bury,180608,185060,2.47,population_all,North West
E08000003,Manchester,392819,503127,28.08,population_all,North West
E08000004,Oldham,217273,224897,3.51,population_all,North West
E08000005,Rochdale,205357,211699,3.09,population_all,North West
E08000006,Salford,216103,233933,8.25,population_all,North West
E08000007,Stockport,284528,283275,-0.44,population_all,North West
E08000008,Tameside,213043,219324,2.95,population_all,North West
E08000009,Trafford,210145,226578,7.82,population_all,North West
E08000010,Wigan,301415,317849,5.45,population_all,North West
E08000011,Knowsley,150459,145893,-3.03,population_all,North West
E08000012,Liverpool,439473,466415,6.13,population_all,North West
E08000013,St. Helens,176843,175308,-0.87,population_all,North West
E08000014,Sefton,282958,273790,-3.24,population_all,North West
E08000015,Wirral,312293,319783,2.4,population_all,North West
E08000016,Barnsley,218063,231221,6.03,population_all,Yorkshire and The Humber
E08000017,Doncaster,286866,302402,5.42,population_all,Yorkshire and The Humber
E08000018,Rotherham,248175,257280,3.67,population_all,Yorkshire and The Humber
E08000019,Sheffield,513234,552698,7.69,population_all,Yorkshire and The Humber
E08000021,Newcastle upon Tyne,259536,280177,7.95,population_all,North East
E08000022,North Tyneside,191659,200801,4.77,population_all,North East
E08000023,South Tyneside,152785,148127,-3.05,population_all,North East
E08000024,Sunderland,280807,275506,-1.89,population_all,North East
E08000025,Birmingham,977087,1073045,9.82,population_all,West Midlands
E08000026,Coventry,300848,316960,5.36,population_all,West Midlands
E08000027,Dudley,305155,312925,2.55,population_all,West Midlands
E08000028,Sandwell,282904,308063,8.89,population_all,West Midlands
E08000029,Solihull,199517,206674,3.59,population_all,West Midlands
E08000030,Walsall,253499,269323,6.24,population_all,West Midlands
E08000031,Wolverhampton,236582,249470,5.45,population_all,West Midlands
E08000032,Bradford,467665,522452,11.72,population_all,Yorkshire and The Humber
E08000033,Calderdale,192405,203826,5.94,population_all,Yorkshire and The Humber
E08000034,Kirklees,388567,422458,8.72,population_all,Yorkshire and The Humber
E08000035,Leeds,715402,751485,5.04,population_all,Yorkshire and The Humber
E08000036,Wakefield,315172,325837,3.38,population_all,Yorkshire and The Humber
E08000037,Gateshead,191151,200214,4.74,population_all,North East
E09000001,City of London,6934,7375,6.36,population_all,London
E09000002,Barking and Dagenham,163944,185911,13.4,population_all,London
E09000003,Barnet,314564,356386,13.3,population_all,London
E09000004,Bexley,218307,231997,6.27,population_all,London
E09000005,Brent,263464,311215,18.12,population_all,London
E09000006,Bromley,295532,309392,4.69,population_all,London
E09000007,Camden,198020,220338,11.27,population_all,London
E09000008,Croydon,330896,363378,9.82,population_all,London
E09000009,Ealing,300948,338449,12.46,population_all,London
E09000010,Enfield,273559,312466,14.22,population_all,London
E09000011,Greenwich,214403,254557,18.73,population_all,London
E09000012,Hackney,202824,246270,21.42,population_all,London
E09000013,Hammersmith and Fulham,165242,182493,10.44,population_all,London
E09000014,Haringey,216507,254926,17.74,population_all,London
E09000015,Harrow,206814,239056,15.59,population_all,London
E09000016,Havering,224248,237232,5.79,population_all,London
E09000017,Hillingdon,243006,273936,12.73,population_all,London
E09000018,Hounslow,212341,253957,19.6,population_all,London
E09000019,Islington,176048,206125,17.08,population_all,London
E09000020,Kensington and Chelsea,158919,158649,-0.17,population_all,London
E09000021,Kingston upon Thames,147483,160060,8.53,population_all,London
E09000022,Lambeth,266169,303086,13.87,population_all,London
E09000023,Lewisham,248922,275885,10.83,population_all,London
E09000024,Merton,187908,199693,6.27,population_all,London
E09000025,Newham,243891,307984,26.28,population_all,London
E09000026,Redbridge,238635,278970,16.9,population_all,London
E09000027,Richmond upon Thames,172125,186990,8.64,population_all,London
E09000028,Southwark,244866,288283,17.73,population_all,London
E09000029,Sutton,179459,190146,5.96,population_all,London
E09000030,Tower Hamlets,196106,254096,29.57,population_all,London
E09000031,Waltham Forest,218341,258249,18.28,population_all,London
E09000032,Wandsworth,260380,306995,17.9,population_all,London
E09000033,Westminster,181286,219396,21.02,population_all,London
W06000001,Isle of Anglesey,66829,69751,4.37,population_all,Wales
W06000002,Gwynedd,116843,121874,4.31,population_all,Wales
W06000003,Conwy,109596,115228,5.14,population_all,Wales
W06000004,Denbighshire,93065,93734,0.72,population_all,Wales
W06000005,Flintshire,148594,152506,2.63,population_all,Wales
W06000006,Wrexham,128476,134844,4.96,population_all,Wales
W06000008,Ceredigion,74941,75922,1.31,population_all,Wales
W06000009,Pembrokeshire,114131,122439,7.28,population_all,Wales
W06000010,Carmarthenshire,172842,183777,6.33,population_all,Wales
W06000011,Swansea,223301,239023,7.04,population_all,Wales
W06000012,Neath Port Talbot,134468,139812,3.97,population_all,Wales
